iter	Passed	Remaining
601	1300	860
602	1303	858
603	1305	855
604	1307	853
605	1309	851
606	1311	849
607	1314	847
608	1316	845
609	1318	843
610	1321	841
611	1323	839
612	1325	836
613	1327	834
614	1329	832
615	1332	830
616	1334	828
617	1336	826
618	1339	824
619	1341	822
620	1343	820
621	1345	817
622	1347	815
623	1350	813
624	1352	811
625	1354	809
626	1356	806
627	1358	804
628	1360	802
629	1362	800
630	1364	798
631	1367	795
632	1369	793
633	1371	791
634	1373	789
635	1375	787
636	1377	785
637	1380	783
638	1382	781
639	1385	779
640	1387	777
641	1390	775
642	1392	773
643	1394	770
644	1397	768
645	1399	766
646	1401	764
647	1404	763
648	1407	760
649	1409	758
650	1411	756
651	1413	754
652	1415	752
653	1417	750
654	1420	748
655	1422	745
656	1424	743
657	1426	741
658	1428	739
659	1431	737
660	1433	735
661	1435	732
662	1437	730
663	1439	728
664	1442	726
665	1444	724
666	1446	722
667	1448	719
668	1450	717
669	1453	715
670	1455	713
671	1457	711
672	1460	709
673	1462	707
674	1465	705
675	1468	703
676	1471	701
677	1473	699
678	1475	697
679	1477	695
680	1480	693
681	1482	691
682	1485	689
683	1487	687
684	1489	685
685	1491	682
686	1494	680
687	1496	678
688	1498	676
689	1500	674
690	1503	672
691	1505	670
692	1507	668
693	1510	665
694	1512	663
695	1514	661
696	1517	659
697	1519	657
698	1521	655
699	1524	653
700	1526	650
701	1528	648
702	1530	646
703	1532	644
704	1534	642
705	1537	640
706	1538	637
707	1540	635
708	1542	633
709	1544	631
710	1546	628
711	1549	626
712	1551	624
713	1553	622
714	1555	619
715	1557	617
716	1559	615
717	1561	613
718	1563	610
719	1565	608
720	1567	606
721	1569	604
722	1571	602
723	1573	599
724	1575	597
725	1578	595
726	1580	593
727	1583	591
728	1585	589
729	1587	587
730	1590	585
731	1592	583
732	1594	580
733	1596	578
734	1598	576
735	1600	574
736	1602	571
737	1604	569
738	1606	567
739	1608	565
740	1611	563
741	1613	561
742	1615	558
743	1617	556
744	1619	554
745	1621	552
746	1623	549
747	1625	547
748	1627	545
749	1629	543
750	1631	540
751	1633	538
752	1635	536
753	1637	534
754	1639	532
755	1641	529
756	1643	527
757	1645	525
758	1647	523
759	1649	520
760	1651	518
761	1667	520
762	1669	518
763	1670	516
764	1672	513
765	1674	511
766	1676	509
767	1677	506
768	1679	504
769	1681	502
770	1682	499
771	1684	497
772	1686	495
773	1688	492
774	1689	490
775	1691	488
776	1693	486
777	1695	483
778	1697	481
779	1699	479
780	1701	476
781	1702	474
782	1705	472
783	1707	470
784	1708	468
785	1710	465
786	1713	463
787	1715	461
788	1717	459
789	1719	456
790	1720	454
791	1722	452
792	1724	450
793	1726	447
794	1728	445
795	1731	443
796	1733	441
797	1735	439
798	1738	437
799	1740	435
800	1742	432
801	1744	430
802	1746	428
803	1748	426
804	1750	424
805	1752	421
806	1754	419
807	1756	417
808	1758	415
809	1760	413
810	1762	410
811	1764	408
812	1766	406
813	1768	403
814	1769	401
815	1771	399
816	1773	397
817	1775	395
818	1777	392
819	1779	390
820	1781	388
821	1783	386
822	1785	383
823	1787	381
824	1789	379
825	1791	377
826	1793	375
827	1795	372
828	1797	370
829	1799	368
830	1801	366
831	1803	364
832	1805	361
833	1807	359
834	1809	357
835	1811	355
836	1813	353
837	1815	350
838	1817	348
839	1819	346
840	1821	344
841	1823	342
842	1825	340
843	1828	337
844	1830	335
845	1832	333
846	1834	331
847	1836	329
848	1838	326
849	1840	324
850	1842	322
851	1844	320
852	1846	318
853	1849	316
854	1851	313
855	1853	311
856	1855	309
857	1857	307
858	1859	305
859	1861	302
860	1863	300
861	1865	298
862	1867	296
863	1869	294
864	1871	292
865	1873	289
866	1875	287
867	1877	285
868	1879	283
869	1881	281
870	1884	279
871	1886	276
872	1888	274
873	1890	272
874	1892	270
875	1894	268
876	1896	266
877	1898	263
878	1900	261
879	1903	259
880	1905	257
881	1907	255
882	1909	253
883	1912	250
884	1914	248
885	1916	246
886	1918	244
887	1920	242
888	1922	240
889	1924	237
890	1927	235
891	1929	233
892	1931	231
893	1932	229
894	1934	227
895	1936	224
896	1938	222
897	1940	220
898	1942	218
899	1944	216
900	1946	213
901	1949	211
